country,score_2020,score_2021,score_2022,economy_2020,economy_2021,economy_2022
NG,5.209599976348876,5.236999976348876,5.2643999763488765,0.721095251220703,0.7231092512207029,0.7251232512207029
BT,4.988000031280507,4.942400031280513,4.89680003128052,0.8320452777023313,0.8348912777023312,0.8377372777023311
AZ,5.199800041198731,5.190000041198729,5.180200041198731,1.055191353126526,1.049040353126525,1.042889353126526
PK,5.721400010681151,5.847200010681149,5.973000010681147,0.7059887061233496,0.71868670612335,0.7313847061233503
JO,4.965399993133531,4.893999993133519,4.822599993133537,0.8183374788856526,0.7878684788856489,0.7573994788856524
ME,5.546399997711177,5.631199997711178,5.7159999977111795,1.0759358071899463,1.085121807189946,1.0943078071899457
CN,5.249899952697753,5.260199952697754,5.2704999526977545,1.075105158111569,1.0990011581115695,1.12289715811157
ZM,3.8457999877929296,3.599599987792942,3.3533999877929546,0.6213273558578578,0.6378493558578526,0.6543713558578546
RO,6.391099961853001,6.621999961852964,6.852899961852984,1.1967867822647094,1.2151267822647114,1.2334667822647063
RS,5.693499996185295,5.8115999961852935,5.92969999618532,1.0329145158538786,1.0436715158538803,1.0544285158538784
PT,5.745300034332274,5.892200034332291,6.039100034332307,1.2422640589752199,1.2456750589752206,1.2490860589752204
LV,6.293299980926577,6.4989999809265555,6.704699980926534,1.2087137249603277,1.2165017249603292,1.2242897249603288
PH,5.7956999656677795,5.9317999656677785,6.0678999656677775,0.841294843082423,0.8579138430824287,0.8745328430824273
MA,5.320100026702889,5.369400026702877,5.418700026702879,0.8279489162216187,0.8350329162216177,0.8421169162216184
AL,4.547900010681161,4.493000010681158,4.438100010681154,0.9678405506629915,0.9775765506629917,0.9873125506629918
BA,5.4138000320434685,5.497800032043472,5.581800032043475,0.9837068835258478,1.004377883525848,1.025048883525848
DO,5.5675000038147004,5.690200003814709,5.81290000381469,1.0579397673034663,1.0772787673034614,1.0966177673034636
MN,5.341199984741195,5.445199984741208,5.549199984741193,0.9907181731185872,1.0072271731185864,1.0237361731185857
GR,5.5079000473022575,5.626400047302241,5.744900047302252,1.1931874962234499,1.1890894962234508,1.18499149622345
LB,5.433099980926528,5.52759998092651,5.622099980926521,0.9645735061416616,0.9410775061416601,0.9175815061416657
HU,6.046699976348918,6.285799976348926,6.524899976348877,1.2309843868560755,1.239954386856077,1.2489243868560784
HN,6.073900046539393,6.3516000465393745,6.629300046539356,0.6621576235466002,0.6640646235466003,0.6659716235466004
TJ,5.567299977874711,5.723799977874705,5.880299977874699,0.5313197270889276,0.5503907270889314,0.5694617270889282
TN,4.425699965667718,4.324799965667722,4.2238999656677265,0.938077161239624,0.938327161239624,0.938577161239624
BD,4.394499960327153,4.332599960327158,4.27069996032715,0.619747595058449,0.6516645950584419,0.683581595058449
IR,4.5745999824523835,4.536399982452394,4.498199982452391,1.1255966213912956,1.137978621391298,1.1503606213912967
UA,4.031500038909911,3.9396000389099015,3.847700038909892,0.8245153898811344,0.8207143898811342,0.816913389881134
IQ,4.348700043487554,4.288800043487555,4.228900043487556,1.058272097091674,1.0633000970916733,1.0683280970916744
ZA,4.802699999237063,4.845199999237053,4.887699999237057,0.978327741134644,0.9778137411346439,0.977299741134644
GH,4.86849997711181,4.9791999771118185,5.089899977111827,0.6369059648857132,0.6460829648857107,0.6552599648857118
ZW,3.288099999999986,3.048599999999965,2.809099999999944,0.4030283069934839,0.4226873069934811,0.4423463069934854
LR,3.443499998474067,3.311599998474094,3.1796999984740637,0.08102235860967699,0.07827635860967685,0.07553035860967672
IN,3.903600011444098,3.772200011444113,3.640800011444128,0.7909122496299759,0.8109782496299758,0.8310442496299757
HT,3.1791999851226933,2.950399985122658,2.7215999851226798,0.348833052574161,0.35749005257416044,0.3661470525741599
NP,5.077899978637703,5.166399978637713,5.254899978637724,0.4766500383720391,0.49173003837203666,0.5068100383720378
ET,4.240200007629383,4.17920000762939,4.118200007629383,0.3850717690944663,0.4156427690944682,0.4462137690944701
SL,4.46020002212525,4.427200022125248,4.394200022125247,0.24750318574332653,0.2241701857433256,0.20083718574333176
MR,4.433899963378906,4.460199963378905,4.486499963378904,0.6211724577484077,0.6386674577484044,0.6561624577484082
KE,4.519599994659423,4.542999994659425,4.566399994659427,0.5700448924293511,0.5965358924293511,0.6230268924293512
AM,4.5068999855041625,4.544799985504156,4.5826999855041635,0.874749347572326,0.8866213475723228,0.8984933475723231
BW,3.2084000064849647,3.0012000064849644,2.794000006484964,1.0588728308715818,1.060636830871582,1.062400830871582
MM,4.38870001525879,4.39060001525879,4.39250001525879,0.8398781100807184,0.9617501100807146,1.0836221100807393
GE,4.498399954986581,4.551599954986571,4.604799954986575,0.9448705328445399,0.9751985328445443,1.0055265328445415
MW,3.1831000057220535,2.949800005722068,2.7165000057220823,0.2773634076595215,0.3222464076595202,0.36712940765953306
LK,4.466400011444087,4.491000011444086,4.515600011444086,0.9887560288772548,1.0059900288772496,1.0232240288772516
CM,5.309600034332277,5.514200034332248,5.718800034332276,0.5980640730171203,0.6243670730171189,0.6506700730171175
BG,5.30920004501337,5.5394000450133944,5.769600045013362,1.116721817665102,1.1267838176651033,1.1368458176651046
EG,4.3755000267028805,4.37560002670288,4.375700026702881,0.9227253614997866,0.9220703614997865,0.9214153614997866
YE,3.0968999870299854,2.920599987030016,2.74429998702999,0.29240168947220013,0.22676468947219064,0.16112768947218115
ML,4.568200011444077,4.684600011444076,4.801000011444074,0.45264809876633194,0.4832080987663332,0.5137680987663344
UG,4.301599970245377,4.395399970245364,4.48919997024538,0.383759143064502,0.4054361430644988,0.42711314306449566
SN,4.9837999694824475,5.180399969482437,5.376999969482426,0.48005580448532115,0.49564580448532425,0.5112358044853238
GA,5.140700030517621,5.385000030517631,5.629300030517584,1.0632950478820824,1.0503960478820815,1.0374970478820842
NE,4.667399975585965,4.85499997558594,5.042599975585915,0.16725506615161834,0.18080506615161696,0.19435506615161913
KH,4.891800044250488,5.120600044250523,5.349400044250501,0.6142970192375188,0.6363170192375165,0.6583370192375213
TZ,3.027099995422361,2.8807999954223646,2.734499995422368,0.5492921752357347,0.58579717523574,0.6223021752357454
MG,3.920300010681146,3.9786000106811485,4.036900010681151,0.3001117386341079,0.3115097386341077,0.3229077386341075
TD,4.574600021743777,4.765000021743788,4.955400021743799,0.3676165974750507,0.36281659747505124,0.35801659747505177
GN,4.487499993896449,4.6987999938964435,4.910099993896438,0.43282698601913694,0.48597798601913667,0.5391289860191506
BF,4.879300012969907,5.147800012969924,5.416300012969941,0.3566025427169812,0.37058354271698235,0.38456454271697993
AF,3.3711999820709195,3.323999982070916,3.276799982070912,0.360140443534851,0.36114944353485123,0.36215844353485105
RW,3.3278999912261895,3.290999991226201,3.254099991226198,0.40527117864800033,0.4330091786479997,0.4607471786479991
BJ,5.023900012969875,5.398200012969937,5.772500012969886,0.4354580815467841,0.45502908154679034,0.47460008154678945
SY,3.683699978637719,3.8141999786377028,3.9446999786376864,0.6551316268691991,0.6404726268692009,0.6258136268691992
BI,3.60099999427797,3.774999994278005,3.948999994277983,0.08767351373338883,0.09608251373338916,0.10449151373338594
TG,4.500599977111847,4.819399977111743,5.1381999771117535,0.29899394348144526,0.310034943481444,0.3210759434814463
