,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_reg_lambda,param_reg_alpha,param_n_estimators,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
276,28.069852781295776,0.18179103391965015,0.19789633750915528,0.02658830406709759,0.5,1,0.1,1000,10,0.01,0,0.5,"{'subsample': 0.5, 'reg_lambda': 1, 'reg_alpha': 0.1, 'n_estimators': 1000, 'max_depth': 10, 'learning_rate': 0.01, 'gamma': 0, 'colsample_bytree': 0.5}",0.808252427184466,0.7872168284789643,0.8074433656957929,0.8072874493927126,0.8114886731391586,0.804337748778219,0.008694043113391043,1
32,14.749727725982666,0.15602228084181416,0.10173845291137695,0.004353066487808751,0.5,0.5,1,500,10,0.01,0.1,0.5,"{'subsample': 0.5, 'reg_lambda': 0.5, 'reg_alpha': 1, 'n_estimators': 500, 'max_depth': 10, 'learning_rate': 0.01, 'gamma': 0.1, 'colsample_bytree': 0.5}",0.8042071197411004,0.7831715210355987,0.8033980582524272,0.8048582995951417,0.8171521035598706,0.8025574204368275,0.010931972335212882,2
123,13.190551662445069,0.15533354925925608,0.1032470703125,0.0004526979725476385,1,0.5,0.1,500,10,0.01,0.1,0.5,"{'subsample': 1, 'reg_lambda': 0.5, 'reg_alpha': 0.1, 'n_estimators': 500, 'max_depth': 10, 'learning_rate': 0.01, 'gamma': 0.1, 'colsample_bytree': 0.5}",0.8025889967637541,0.7847896440129449,0.801779935275081,0.8097165991902834,0.8131067961165048,0.8023963942717136,0.00978481353747613,3
181,13.731994676589967,0.13956657024380728,0.10781660079956054,0.002643442728935815,1,0.1,1,500,10,0.01,1,0.5,"{'subsample': 1, 'reg_lambda': 0.1, 'reg_alpha': 1, 'n_estimators': 500, 'max_depth': 10, 'learning_rate': 0.01, 'gamma': 1, 'colsample_bytree': 0.5}",0.8066343042071198,0.7815533980582524,0.7993527508090615,0.8097165991902834,0.8147249190938511,0.8023963942717136,0.011551900810192504,3
264,28.43863663673401,0.40958515052731476,0.18538517951965333,0.0034545982618427325,0.5,1,0,1000,10,0.01,0,0.5,"{'subsample': 0.5, 'reg_lambda': 1, 'reg_alpha': 0, 'n_estimators': 1000, 'max_depth': 10, 'learning_rate': 0.01, 'gamma': 0, 'colsample_bytree': 0.5}",0.8009708737864077,0.7839805825242718,0.8009708737864077,0.8097165991902834,0.8131067961165048,0.8017491450807752,0.010093659294588612,5
53,14.205306053161621,0.10506929925365442,0.10443439483642578,0.016834817361033406,0.5,0.5,0.1,500,10,0.01,0.1,0.5,"{'subsample': 0.5, 'reg_lambda': 0.5, 'reg_alpha': 0.1, 'n_estimators': 500, 'max_depth': 10, 'learning_rate': 0.01, 'gamma': 0.1, 'colsample_bytree': 0.5}",0.8042071197411004,0.7775080906148867,0.8066343042071198,0.8016194331983806,0.8187702265372169,0.8017478348597409,0.013470480104840681,6
186,8.549325513839722,1.1188217691639186,0.030208063125610352,0.0027126028354877386,1,0,1,300,10,3,0.5,1,"{'subsample': 1, 'reg_lambda': 0, 'reg_alpha': 1, 'n_estimators': 300, 'max_depth': 10, 'learning_rate': 3, 'gamma': 0.5, 'colsample_bytree': 1}",0.7912621359223301,0.8042071197411004,0.8187702265372169,0.8105263157894737,0.7799352750809061,0.8009402146142055,0.01382279293043945,7
258,27.345219373703003,0.19461334054933824,0.17656145095825196,0.0016766455954225542,0.5,0,0,1000,10,0.01,1,0.5,"{'subsample': 0.5, 'reg_lambda': 0, 'reg_alpha': 0, 'n_estimators': 1000, 'max_depth': 10, 'learning_rate': 0.01, 'gamma': 1, 'colsample_bytree': 0.5}",0.8033980582524272,0.779126213592233,0.8050161812297735,0.8072874493927126,0.8074433656957929,0.8004542536325878,0.01076942628678943,8
64,28.81559362411499,0.13680098692758252,0.19566478729248046,0.00085823358911575,0.8,1,1,1000,10,0.01,0.5,0.5,"{'subsample': 0.8, 'reg_lambda': 1, 'reg_alpha': 1, 'n_estimators': 1000, 'max_depth': 10, 'learning_rate': 0.01, 'gamma': 0.5, 'colsample_bytree': 0.5}",0.8042071197411004,0.7799352750809061,0.8009708737864077,0.8080971659919028,0.808252427184466,0.8002925723569566,0.010530662819776004,9
173,13.238973712921142,0.3225520791757112,0.10369548797607422,0.003152636444088349,1,0,0,500,10,0.01,0.5,0.5,"{'subsample': 1, 'reg_lambda': 0, 'reg_alpha': 0, 'n_estimators': 500, 'max_depth': 10, 'learning_rate': 0.01, 'gamma': 0.5, 'colsample_bytree': 0.5}",0.8009708737864077,0.7839805825242718,0.8001618122977346,0.8008097165991903,0.813915857605178,0.7999677685625566,0.009506756070514214,10
266,10.877724075317383,0.13900186567413558,0.03298826217651367,0.00109641917139519,0.5,0.1,1,1000,3,0.1,0,0.8,"{'subsample': 0.5, 'reg_lambda': 0.1, 'reg_alpha': 1, 'n_estimators': 1000, 'max_depth': 3, 'learning_rate': 0.1, 'gamma': 0, 'colsample_bytree': 0.8}",0.8050161812297735,0.7750809061488673,0.801779935275081,0.8008097165991903,0.8163430420711975,0.7998059562648219,0.013541446616451992,11
200,5.709874248504638,0.09460167732812269,0.035008573532104494,0.006232149894765874,0.5,1,1,300,5,0.1,0.5,0.5,"{'subsample': 0.5, 'reg_lambda': 1, 'reg_alpha': 1, 'n_estimators': 300, 'max_depth': 5, 'learning_rate': 0.1, 'gamma': 0.5, 'colsample_bytree': 0.5}",0.8042071197411004,0.7775080906148867,0.7993527508090615,0.8008097165991903,0.8131067961165048,0.7989968947761488,0.011759399821243579,12
167,10.946538543701172,0.0689578612576989,0.03360700607299805,0.0012009245169830934,0.5,0.5,1,1000,3,0.1,0.1,0.8,"{'subsample': 0.5, 'reg_lambda': 0.5, 'reg_alpha': 1, 'n_estimators': 1000, 'max_depth': 3, 'learning_rate': 0.1, 'gamma': 0.1, 'colsample_bytree': 0.8}",0.8050161812297735,0.7734627831715211,0.7928802588996764,0.7967611336032389,0.8236245954692557,0.798348990474693,0.01634049735366736,13
30,3.6305651664733887,0.020259243217022344,0.02498025894165039,0.0005911519200577821,0.8,0.5,0.5,300,5,0.1,0,0.5,"{'subsample': 0.8, 'reg_lambda': 0.5, 'reg_alpha': 0.5, 'n_estimators': 300, 'max_depth': 5, 'learning_rate': 0.1, 'gamma': 0, 'colsample_bytree': 0.5}",0.801779935275081,0.7783171521035599,0.7985436893203883,0.7959514170040486,0.8155339805825242,0.7980252348571205,0.011946815420394434,14
159,27.119185590744017,0.4017492515962989,0.18521947860717775,0.00095314605387156,0.8,0.5,0.1,1000,10,0.01,1,0.5,"{'subsample': 0.8, 'reg_lambda': 0.5, 'reg_alpha': 0.1, 'n_estimators': 1000, 'max_depth': 10, 'learning_rate': 0.01, 'gamma': 1, 'colsample_bytree': 0.5}",0.8042071197411004,0.7831715210355987,0.7912621359223301,0.8089068825910931,0.801779935275081,0.7978655189130406,0.009348459861743498,15
84,3.5485899448394775,0.02218463802545005,0.024006128311157227,2.8330709033037084e-06,0.8,0,0.5,300,5,0.1,0.5,0.5,"{'subsample': 0.8, 'reg_lambda': 0, 'reg_alpha': 0.5, 'n_estimators': 300, 'max_depth': 5, 'learning_rate': 0.1, 'gamma': 0.5, 'colsample_bytree': 0.5}",0.7977346278317152,0.7758899676375405,0.7953074433656958,0.7983805668016194,0.81957928802589,0.7973783787324922,0.013856783555207652,16
283,10.763048028945922,0.0658697835409676,0.034066963195800784,0.0015542855480485162,0.5,1,0.5,1000,3,0.1,0,0.8,"{'subsample': 0.5, 'reg_lambda': 1, 'reg_alpha': 0.5, 'n_estimators': 1000, 'max_depth': 3, 'learning_rate': 0.1, 'gamma': 0, 'colsample_bytree': 0.8}",0.8066343042071198,0.7718446601941747,0.7993527508090615,0.7967611336032389,0.8106796116504854,0.797054492092816,0.01355227183754888,17
11,25.47164430618286,0.21828234426158405,0.18504953384399414,0.0014456168010888002,1,0.1,0.5,1000,10,0.01,0.1,0.5,"{'subsample': 1, 'reg_lambda': 0.1, 'reg_alpha': 0.5, 'n_estimators': 1000, 'max_depth': 10, 'learning_rate': 0.01, 'gamma': 0.1, 'colsample_bytree': 0.5}",0.8001618122977346,0.7807443365695793,0.7961165048543689,0.8032388663967611,0.8033980582524272,0.7967319156741743,0.008420492521591539,18
205,6.669025897979736,0.12103232492855864,0.034607648849487305,0.00546585480073009,1,0.5,1,300,5,0.1,1,0.8,"{'subsample': 1, 'reg_lambda': 0.5, 'reg_alpha': 1, 'n_estimators': 300, 'max_depth': 5, 'learning_rate': 0.1, 'gamma': 1, 'colsample_bytree': 0.8}",0.7977346278317152,0.7823624595469255,0.7936893203883495,0.7935222672064778,0.8155339805825242,0.7965685311111984,0.010774322277192458,19
204,7.139023685455323,0.031817501062289325,0.04160985946655273,0.015554960176850376,0.8,0.1,0.5,300,5,0.1,1,0.8,"{'subsample': 0.8, 'reg_lambda': 0.1, 'reg_alpha': 0.5, 'n_estimators': 300, 'max_depth': 5, 'learning_rate': 0.1, 'gamma': 1, 'colsample_bytree': 0.8}",0.8025889967637541,0.7742718446601942,0.7928802588996764,0.7959514170040486,0.813915857605178,0.7959216749865703,0.013009304649783634,20
211,8.02119975090027,0.07733649983748898,0.0328883171081543,0.0006756322773735412,0.8,0.5,0,500,5,0.1,0.5,0.8,"{'subsample': 0.8, 'reg_lambda': 0.5, 'reg_alpha': 0, 'n_estimators': 500, 'max_depth': 5, 'learning_rate': 0.1, 'gamma': 0.5, 'colsample_bytree': 0.8}",0.7993527508090615,0.7766990291262136,0.790453074433657,0.7983805668016194,0.8114886731391586,0.7952748188619421,0.011467113441408482,21
149,8.132405662536621,0.06158319911172213,0.033403873443603516,0.0008011056693354306,0.8,0.5,0.5,500,5,0.1,0,0.8,"{'subsample': 0.8, 'reg_lambda': 0.5, 'reg_alpha': 0.5, 'n_estimators': 500, 'max_depth': 5, 'learning_rate': 0.1, 'gamma': 0, 'colsample_bytree': 0.8}",0.801779935275081,0.7775080906148867,0.7936893203883495,0.8,0.8025889967637541,0.7951132686084141,0.00934003233728565,22
73,7.327815389633178,0.13802990243284047,0.033004379272460936,5.189863735494918e-06,0.8,1,0.5,1000,3,0.1,0.1,0.5,"{'subsample': 0.8, 'reg_lambda': 1, 'reg_alpha': 0.5, 'n_estimators': 1000, 'max_depth': 3, 'learning_rate': 0.1, 'gamma': 0.1, 'colsample_bytree': 0.5}",0.8050161812297735,0.7750809061488673,0.7936893203883495,0.7935222672064778,0.808252427184466,0.7951122204315867,0.011632365371536378,23
96,5.259503030776978,0.0647124667709625,0.023998737335205078,0.0006372497881551617,0.5,0.5,0,300,5,0.1,0.1,0.8,"{'subsample': 0.5, 'reg_lambda': 0.5, 'reg_alpha': 0, 'n_estimators': 300, 'max_depth': 5, 'learning_rate': 0.1, 'gamma': 0.1, 'colsample_bytree': 0.8}",0.7961165048543689,0.7750809061488673,0.7944983818770227,0.7927125506072874,0.8106796116504854,0.7938175910276064,0.01133455508633344,24
293,6.834772157669067,0.43790878778241366,0.02620549201965332,0.004401230877618134,0.5,1,1,300,5,0.1,0.5,1,"{'subsample': 0.5, 'reg_lambda': 1, 'reg_alpha': 1, 'n_estimators': 300, 'max_depth': 5, 'learning_rate': 0.1, 'gamma': 0.5, 'colsample_bytree': 1}",0.7936893203883495,0.7702265372168284,0.7953074433656958,0.7886639676113361,0.81957928802589,0.7934933113216199,0.01580172783690921,25
72,5.834851789474487,0.06863489698954656,0.024000120162963868,3.7919798568861088e-06,0.8,1,0.5,300,5,0.1,0.5,1,"{'subsample': 0.8, 'reg_lambda': 1, 'reg_alpha': 0.5, 'n_estimators': 300, 'max_depth': 5, 'learning_rate': 0.1, 'gamma': 0.5, 'colsample_bytree': 1}",0.7953074433656958,0.7726537216828478,0.790453074433657,0.7935222672064778,0.8131067961165048,0.7930086605610367,0.012886720328807244,26
121,5.858621978759766,0.04288550452868944,0.02513737678527832,0.0007965003507357155,0.8,0,0.5,300,5,0.1,0.1,1,"{'subsample': 0.8, 'reg_lambda': 0, 'reg_alpha': 0.5, 'n_estimators': 300, 'max_depth': 5, 'learning_rate': 0.1, 'gamma': 0.1, 'colsample_bytree': 1}",0.7953074433656958,0.7775080906148867,0.7936893203883495,0.7927125506072874,0.8033980582524272,0.7925230926457294,0.008400758933949981,27
102,6.352836179733276,0.07060631677285052,0.02494325637817383,0.000498370333705288,0.5,0.5,1,300,5,0.1,1,1,"{'subsample': 0.5, 'reg_lambda': 0.5, 'reg_alpha': 1, 'n_estimators': 300, 'max_depth': 5, 'learning_rate': 0.1, 'gamma': 1, 'colsample_bytree': 1}",0.7896440129449838,0.7726537216828478,0.7944983818770227,0.7902834008097166,0.813915857605178,0.7921990749839498,0.0131842667208753,28
287,8.537891626358032,0.05764359583608865,0.06141376495361328,0.00313815810662458,0.8,0.1,0,300,10,0.01,0.1,0.5,"{'subsample': 0.8, 'reg_lambda': 0.1, 'reg_alpha': 0, 'n_estimators': 300, 'max_depth': 10, 'learning_rate': 0.01, 'gamma': 0.1, 'colsample_bytree': 0.5}",0.7985436893203883,0.761326860841424,0.7896440129449838,0.7927125506072874,0.8009708737864077,0.7886395975000983,0.01423892405218464,29
