,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_reg_lambda,param_reg_alpha,param_n_estimators,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.1819310665130615,0.008386005179199777,0.012995433807373048,0.00069077046481272,1,0.25,0.5,10,3,0.05,1,0.7,"{'subsample': 1, 'reg_lambda': 0.25, 'reg_alpha': 0.5, 'n_estimators': 10, 'max_depth': 3, 'learning_rate': 0.05, 'gamma': 1, 'colsample_bytree': 0.7}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
72,0.4275353908538818,0.04539904671792665,0.012401199340820313,0.0004891263597805103,0.7,0.5,1,10,9,0.01,0.5,0.7,"{'subsample': 0.7, 'reg_lambda': 0.5, 'reg_alpha': 1, 'n_estimators': 10, 'max_depth': 9, 'learning_rate': 0.01, 'gamma': 0.5, 'colsample_bytree': 0.7}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
36,0.6308517456054688,0.003927334535252316,0.013201570510864258,0.0007491950286225162,0.7,0.25,0,10,15,0.05,1,0.6,"{'subsample': 0.7, 'reg_lambda': 0.25, 'reg_alpha': 0, 'n_estimators': 10, 'max_depth': 15, 'learning_rate': 0.05, 'gamma': 1, 'colsample_bytree': 0.6}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
49,1.0171237468719483,0.009317661969587403,0.01420297622680664,0.0011671366982280902,0.5,0.25,1,50,7,0.01,1,0.5,"{'subsample': 0.5, 'reg_lambda': 0.25, 'reg_alpha': 1, 'n_estimators': 50, 'max_depth': 7, 'learning_rate': 0.01, 'gamma': 1, 'colsample_bytree': 0.5}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
27,0.6160884857177734,0.030810101237984104,0.012601709365844727,0.0004901553766147324,0.5,0,0,10,11,0.01,0,0.9,"{'subsample': 0.5, 'reg_lambda': 0, 'reg_alpha': 0, 'n_estimators': 10, 'max_depth': 11, 'learning_rate': 0.01, 'gamma': 0, 'colsample_bytree': 0.9}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
65,0.5474611282348633,0.008151565093957229,0.012601184844970702,0.0012000590838697276,0.8,0,0,10,11,0.05,0,0.8,"{'subsample': 0.8, 'reg_lambda': 0, 'reg_alpha': 0, 'n_estimators': 10, 'max_depth': 11, 'learning_rate': 0.05, 'gamma': 0, 'colsample_bytree': 0.8}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
43,3.308178424835205,0.039828361452793705,0.021816110610961913,0.0009291620600979525,1,0.5,0.5,50,13,0.01,0.5,0.9,"{'subsample': 1, 'reg_lambda': 0.5, 'reg_alpha': 0.5, 'n_estimators': 50, 'max_depth': 13, 'learning_rate': 0.01, 'gamma': 0.5, 'colsample_bytree': 0.9}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
73,0.5905345439910888,0.004183327418065118,0.013402938842773438,0.0004902713423778701,0.7,0.25,0.25,10,13,0.1,0.25,0.7,"{'subsample': 0.7, 'reg_lambda': 0.25, 'reg_alpha': 0.25, 'n_estimators': 10, 'max_depth': 13, 'learning_rate': 0.1, 'gamma': 0.25, 'colsample_bytree': 0.7}",0.8478260869565217,0.8389694041867954,0.8518518518518519,0.8348106365834005,0.8494363929146538,0.8445788744986447,0.006540958685652374,8
85,0.264540958404541,0.028342163395142995,0.01100153923034668,0.0006324100049280169,0.6,0.5,1,10,7,0.1,0,0.5,"{'subsample': 0.6, 'reg_lambda': 0.5, 'reg_alpha': 1, 'n_estimators': 10, 'max_depth': 7, 'learning_rate': 0.1, 'gamma': 0, 'colsample_bytree': 0.5}",0.8309178743961353,0.8172302737520128,0.8260869565217391,0.8331990330378727,0.8446054750402576,0.8304079225496034,0.008965958070557624,9
70,7.034568786621094,0.07765347421246618,0.036007356643676755,0.0006337671783549157,0.5,0.25,1,100,15,0.01,0.5,0.9,"{'subsample': 0.5, 'reg_lambda': 0.25, 'reg_alpha': 1, 'n_estimators': 100, 'max_depth': 15, 'learning_rate': 0.01, 'gamma': 0.5, 'colsample_bytree': 0.9}",0.8172302737520128,0.8067632850241546,0.822061191626409,0.8267526188557615,0.8252818035426731,0.8196178345602021,0.007209654301269058,10
67,6.832419776916504,0.08448012504632994,0.03220620155334473,0.0018352181602294259,0.5,0.25,0.25,100,13,0.01,0.25,1,"{'subsample': 0.5, 'reg_lambda': 0.25, 'reg_alpha': 0.25, 'n_estimators': 100, 'max_depth': 13, 'learning_rate': 0.01, 'gamma': 0.25, 'colsample_bytree': 1}",0.8019323671497585,0.7954911433172303,0.8099838969404187,0.8235294117647058,0.8132045088566827,0.8088282656057592,0.009612938506141202,11
