,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_reg_lambda,param_reg_alpha,param_n_estimators,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
63,1.0931883335113526,0.03374032088201967,0.013006305694580078,0.0014155666483117758,0.5,0,0,50,5,3,0,1,"{'subsample': 0.5, 'reg_lambda': 0, 'reg_alpha': 0, 'n_estimators': 50, 'max_depth': 5, 'learning_rate': 3, 'gamma': 0, 'colsample_bytree': 1}",0.8163430420711975,0.8511326860841424,0.75,0.8226720647773279,0.8559870550161812,0.8192269695897698,0.037899439739771806,1
164,10.758264875411987,0.7228584558727212,0.03158736228942871,0.004203212999582681,1,0.5,0.1,500,10,3,0,1,"{'subsample': 1, 'reg_lambda': 0.5, 'reg_alpha': 0.1, 'n_estimators': 500, 'max_depth': 10, 'learning_rate': 3, 'gamma': 0, 'colsample_bytree': 1}",0.7928802588996764,0.8381877022653722,0.7880258899676376,0.8372469635627531,0.7993527508090615,0.8111387131009001,0.021998960007922536,2
449,9.46760597229004,2.253382930900908,0.030512475967407228,0.004260647821476523,1,0.5,0.5,500,10,3,1,1,"{'subsample': 1, 'reg_lambda': 0.5, 'reg_alpha': 0.5, 'n_estimators': 500, 'max_depth': 10, 'learning_rate': 3, 'gamma': 1, 'colsample_bytree': 1}",0.7257281553398058,0.8284789644012945,0.8567961165048543,0.8461538461538461,0.7920711974110033,0.8098456559621608,0.047458436323362385,3
84,8.21943383216858,0.0462945251793363,0.03420438766479492,0.0003945372546612157,0.5,0.1,0.5,500,5,0.1,0.5,0.7,"{'subsample': 0.5, 'reg_lambda': 0.1, 'reg_alpha': 0.5, 'n_estimators': 500, 'max_depth': 5, 'learning_rate': 0.1, 'gamma': 0.5, 'colsample_bytree': 0.7}",0.7944983818770227,0.7839805825242718,0.7977346278317152,0.8048582995951417,0.8131067961165048,0.7988357375889311,0.00980443872825179,4
205,9.74980607032776,0.04851178523975909,0.03520817756652832,0.00039285164521717125,0.8,1,0.1,500,5,0.1,0.5,1,"{'subsample': 0.8, 'reg_lambda': 1, 'reg_alpha': 0.1, 'n_estimators': 500, 'max_depth': 5, 'learning_rate': 0.1, 'gamma': 0.5, 'colsample_bytree': 1}",0.7944983818770227,0.7831715210355987,0.7944983818770227,0.8024291497975709,0.8114886731391586,0.7972172215452747,0.009411741685729457,5
327,8.239846467971802,0.11453242392377265,0.03602743148803711,0.001574706247206149,0.5,0.1,0,500,5,0.1,0,0.7,"{'subsample': 0.5, 'reg_lambda': 0.1, 'reg_alpha': 0, 'n_estimators': 500, 'max_depth': 5, 'learning_rate': 0.1, 'gamma': 0, 'colsample_bytree': 0.7}",0.801779935275081,0.7758899676375405,0.7961165048543689,0.7975708502024291,0.8033980582524272,0.7949510632443694,0.009894767520893032,6
226,7.437670516967773,0.1158153907239065,0.03485751152038574,0.0011731400951081215,0.5,1,0.1,500,5,0.1,1,0.6,"{'subsample': 0.5, 'reg_lambda': 1, 'reg_alpha': 0.1, 'n_estimators': 500, 'max_depth': 5, 'learning_rate': 0.1, 'gamma': 1, 'colsample_bytree': 0.6}",0.8009708737864077,0.7831715210355987,0.7912621359223301,0.7919028340080971,0.8066343042071198,0.7947883337919107,0.008176323561290859,7
414,2.153631067276001,0.05166501129477331,0.016204643249511718,0.0007427456623607505,0.5,0.1,0.1,100,5,3,0.1,1,"{'subsample': 0.5, 'reg_lambda': 0.1, 'reg_alpha': 0.1, 'n_estimators': 100, 'max_depth': 5, 'learning_rate': 3, 'gamma': 0.1, 'colsample_bytree': 1}",0.7775080906148867,0.7702265372168284,0.7912621359223301,0.7886639676113361,0.843042071197411,0.7941405605125584,0.025605295195618338,8
323,1.4452001571655273,0.015313461092436805,0.019011211395263673,0.0016923202556844445,1,1,1,50,10,0.1,0.5,0.5,"{'subsample': 1, 'reg_lambda': 1, 'reg_alpha': 1, 'n_estimators': 50, 'max_depth': 10, 'learning_rate': 0.1, 'gamma': 0.5, 'colsample_bytree': 0.5}",0.8050161812297735,0.7669902912621359,0.7896440129449838,0.7935222672064778,0.8106796116504854,0.7931704728587713,0.015131770122875735,9
336,10.75866928100586,0.014593389538396749,0.035115528106689456,0.000712962214978428,0.5,0.5,0.5,500,5,0.1,0.5,1,"{'subsample': 0.5, 'reg_lambda': 0.5, 'reg_alpha': 0.5, 'n_estimators': 500, 'max_depth': 5, 'learning_rate': 0.1, 'gamma': 0.5, 'colsample_bytree': 1}",0.7961165048543689,0.7694174757281553,0.7855987055016181,0.7959514170040486,0.8098705501618123,0.7913909306500007,0.0134239190851234,10
481,8.553805494308472,0.22519620427651313,0.03320503234863281,0.0007548041979715715,1,0.5,0.1,500,5,0.1,0.5,1,"{'subsample': 1, 'reg_lambda': 0.5, 'reg_alpha': 0.1, 'n_estimators': 500, 'max_depth': 5, 'learning_rate': 0.1, 'gamma': 0.5, 'colsample_bytree': 1}",0.7912621359223301,0.7726537216828478,0.790453074433657,0.7878542510121458,0.813915857605178,0.7912278081312318,0.013203988447885043,11
477,1.469796085357666,0.006132408566061158,0.017206144332885743,0.00040236121243471577,0.8,1,1,50,10,0.1,0.1,0.5,"{'subsample': 0.8, 'reg_lambda': 1, 'reg_alpha': 1, 'n_estimators': 50, 'max_depth': 10, 'learning_rate': 0.1, 'gamma': 0.1, 'colsample_bytree': 0.5}",0.7920711974110033,0.7766990291262136,0.7920711974110033,0.7935222672064778,0.7993527508090615,0.7907432883927519,0.007518157612237719,12
