,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_reg_lambda,param_reg_alpha,param_n_estimators,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
44,5.246186447143555,0.033568900993290254,0.037824583053588864,0.0007349556628901572,0.8,0,0.5,200,10,0.1,0,0.5,"{'subsample': 0.8, 'reg_lambda': 0, 'reg_alpha': 0.5, 'n_estimators': 200, 'max_depth': 10, 'learning_rate': 0.1, 'gamma': 0, 'colsample_bytree': 0.5}",0.7696038803556993,0.7453516572352465,0.7857720291026677,0.7502021018593371,0.7599029911075182,0.7621665319320938,0.0144467633976968,14
84,4.021482372283936,0.1315496366054494,0.019404077529907228,0.0008004190384041819,0.8,0,1,200,5,3,1,1,"{'subsample': 0.8, 'reg_lambda': 0, 'reg_alpha': 1, 'n_estimators': 200, 'max_depth': 5, 'learning_rate': 3, 'gamma': 1, 'colsample_bytree': 1}",0.7283751010509296,0.8585286984640259,0.7469684721099434,0.719482619240097,0.7469684721099434,0.7600646725949879,0.050377211760423465,15
33,18.89313163757324,0.1623529717657793,0.07580428123474121,0.0004049540064353789,0.5,0.1,1,500,10,0.1,0,1,"{'subsample': 0.5, 'reg_lambda': 0.1, 'reg_alpha': 1, 'n_estimators': 500, 'max_depth': 10, 'learning_rate': 0.1, 'gamma': 0, 'colsample_bytree': 1}",0.7574777687954729,0.7453516572352465,0.7752627324171383,0.7510105092966856,0.7679870654810024,0.7594179466451092,0.010925171160243271,16
85,4.609163904190064,0.053067936524988986,0.02220182418823242,0.00040174936728389554,0.8,0.5,1,500,3,0.1,0,0.7,"{'subsample': 0.8, 'reg_lambda': 0.5, 'reg_alpha': 1, 'n_estimators': 500, 'max_depth': 3, 'learning_rate': 0.1, 'gamma': 0, 'colsample_bytree': 0.7}",0.7623282134195635,0.7421180274858529,0.7623282134195635,0.7582861762328214,0.7550525464834277,0.7560226354082458,0.007468914769572257,17
89,1.8640945911407472,0.03384306288068436,0.019953346252441405,0.005712310067514333,1,0,0.5,100,5,0.5,0.5,1,"{'subsample': 1, 'reg_lambda': 0, 'reg_alpha': 0.5, 'n_estimators': 100, 'max_depth': 5, 'learning_rate': 0.5, 'gamma': 0.5, 'colsample_bytree': 1}",0.7574777687954729,0.7493936944219887,0.7445432497978981,0.7736459175424414,0.7493936944219887,0.7548908649959579,0.010256266145289392,18
16,4.2663709163665775,0.03989968039230157,0.020453500747680663,0.0010332290746555082,0.5,0.5,0.1,200,5,0.5,0.1,1,"{'subsample': 0.5, 'reg_lambda': 0.5, 'reg_alpha': 0.1, 'n_estimators': 200, 'max_depth': 5, 'learning_rate': 0.5, 'gamma': 0.1, 'colsample_bytree': 1}",0.7744543249797898,0.7219078415521423,0.7663702506063056,0.7485852869846402,0.7485852869846402,0.7519805982215038,0.0181083265966047,19
38,3.797746419906616,0.042889406345705094,0.022207117080688475,0.0007479262131243762,1,1,0.1,500,3,0.1,0.1,0.6,"{'subsample': 1, 'reg_lambda': 1, 'reg_alpha': 0.1, 'n_estimators': 500, 'max_depth': 3, 'learning_rate': 0.1, 'gamma': 0.1, 'colsample_bytree': 0.6}",0.7582861762328214,0.7380759902991108,0.7534357316087308,0.7429264349232013,0.740501212611156,0.746645109135004,0.007831127591471199,20
68,1.0175562858581544,0.01058526628916391,0.013492774963378907,0.0007735792631937982,0.8,1,1,50,5,0.1,1,1,"{'subsample': 0.8, 'reg_lambda': 1, 'reg_alpha': 1, 'n_estimators': 50, 'max_depth': 5, 'learning_rate': 0.1, 'gamma': 1, 'colsample_bytree': 1}",0.7542441390460792,0.7291835084882781,0.746160064672595,0.7485852869846402,0.7502021018593371,0.7456750202101861,0.008655624132141755,21
20,0.5373446941375732,0.04235418720563503,0.011397838592529297,0.0004911801869841275,0.8,1,0,50,3,0.1,1,0.7,"{'subsample': 0.8, 'reg_lambda': 1, 'reg_alpha': 0, 'n_estimators': 50, 'max_depth': 3, 'learning_rate': 0.1, 'gamma': 1, 'colsample_bytree': 0.7}",0.7582861762328214,0.7267582861762328,0.751818916734034,0.7372675828617623,0.7534357316087308,0.7455133387227162,0.011708240575735928,22
76,0.9456820964813233,0.006340407649214557,0.01280527114868164,0.0007498261871701374,0.8,0.5,0.5,100,3,1,0.1,0.7,"{'subsample': 0.8, 'reg_lambda': 0.5, 'reg_alpha': 0.5, 'n_estimators': 100, 'max_depth': 3, 'learning_rate': 1, 'gamma': 0.1, 'colsample_bytree': 0.7}",0.7558609539207761,0.7186742118027486,0.7542441390460792,0.740501212611156,0.7574777687954729,0.7453516572352464,0.014640881387449345,23
11,0.7212717056274414,0.00798326681775057,0.01330571174621582,0.0005958861974825875,0.8,1,0.5,50,5,0.1,0,0.6,"{'subsample': 0.8, 'reg_lambda': 1, 'reg_alpha': 0.5, 'n_estimators': 50, 'max_depth': 5, 'learning_rate': 0.1, 'gamma': 0, 'colsample_bytree': 0.6}",0.7566693613581245,0.7243330638641875,0.7469684721099434,0.7413096200485044,0.746160064672595,0.743088116410671,0.01061940945750884,24
61,0.9939528942108155,0.017185845422631196,0.014300203323364258,0.0007811949336120993,0.8,0,0.5,100,3,0.1,0.1,0.7,"{'subsample': 0.8, 'reg_lambda': 0, 'reg_alpha': 0.5, 'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'gamma': 0.1, 'colsample_bytree': 0.7}",0.7582861762328214,0.7235246564268392,0.7510105092966856,0.7275666936135813,0.7485852869846402,0.7417946645109136,0.013705784609553899,25
81,5.72506890296936,0.05201003988886989,0.02222905158996582,0.0007083177658817312,0.8,0.1,0,500,3,0.1,0.1,1,"{'subsample': 0.8, 'reg_lambda': 0.1, 'reg_alpha': 0, 'n_estimators': 500, 'max_depth': 3, 'learning_rate': 0.1, 'gamma': 0.1, 'colsample_bytree': 1}",0.7493936944219887,0.746160064672595,0.7526273241713823,0.7186742118027486,0.7413096200485044,0.7416329830234438,0.01207318008251864,26
22,1.2195688247680665,0.002779760953069017,0.015205001831054688,0.0003996778859364159,0.8,0,0.1,100,5,0.1,1,0.5,"{'subsample': 0.8, 'reg_lambda': 0, 'reg_alpha': 0.1, 'n_estimators': 100, 'max_depth': 5, 'learning_rate': 0.1, 'gamma': 1, 'colsample_bytree': 0.5}",0.7437348423605498,0.7235246564268392,0.746160064672595,0.7445432497978981,0.7437348423605498,0.7403395311236863,0.008453947590882043,27
90,1.510318660736084,0.02715496278244909,0.01464672088623047,0.005904380132447161,1,0.5,0.1,200,3,2,1,0.6,"{'subsample': 1, 'reg_lambda': 0.5, 'reg_alpha': 0.1, 'n_estimators': 200, 'max_depth': 3, 'learning_rate': 2, 'gamma': 1, 'colsample_bytree': 0.6}",0.7502021018593371,0.7227162489894907,0.7607113985448666,0.7210994341147938,0.7421180274858529,0.7393694421988681,0.01543698400941634,28
32,1.6759185791015625,0.012582729035053492,0.015000724792480468,5.600756401071939e-06,1,0.5,0.1,200,3,2,1,0.7,"{'subsample': 1, 'reg_lambda': 0.5, 'reg_alpha': 0.1, 'n_estimators': 200, 'max_depth': 3, 'learning_rate': 2, 'gamma': 1, 'colsample_bytree': 0.7}",0.751818916734034,0.7243330638641875,0.7445432497978981,0.7340339531123686,0.7413096200485044,0.7392077607113985,0.009380313470887842,29
45,0.5670298576354981,0.0015852311270409673,0.012202024459838867,0.0004013786798832314,1,0.1,1,50,3,0.1,0.5,1,"{'subsample': 1, 'reg_lambda': 0.1, 'reg_alpha': 1, 'n_estimators': 50, 'max_depth': 3, 'learning_rate': 0.1, 'gamma': 0.5, 'colsample_bytree': 1}",0.7502021018593371,0.7227162489894907,0.7388843977364592,0.7340339531123686,0.7421180274858529,0.7375909458367016,0.009111723721005898,30
1,1.0449727535247804,0.02690948974418381,0.013630199432373046,0.0007817578684786191,0.5,0.5,1,100,3,1,0,0.7,"{'subsample': 0.5, 'reg_lambda': 0.5, 'reg_alpha': 1, 'n_estimators': 100, 'max_depth': 3, 'learning_rate': 1, 'gamma': 0, 'colsample_bytree': 0.7}",0.7332255456750202,0.7340339531123686,0.7299919159256265,0.7283751010509296,0.7445432497978981,0.7340339531123686,0.005647291575286328,31
34,4.578955125808716,0.05734362741438917,0.022005176544189452,0.0006361571469980603,0.8,0.1,0.5,500,3,2,0.1,0.7,"{'subsample': 0.8, 'reg_lambda': 0.1, 'reg_alpha': 0.5, 'n_estimators': 500, 'max_depth': 3, 'learning_rate': 2, 'gamma': 0.1, 'colsample_bytree': 0.7}",0.7396928051738076,0.7130153597413096,0.7485852869846402,0.719482619240097,0.7380759902991108,0.731770412287793,0.013326713684717785,32
94,4.145399188995361,0.01084749209345088,0.019794797897338866,0.00040244134105949365,0.5,1,0.1,200,5,1,0.5,1,"{'subsample': 0.5, 'reg_lambda': 1, 'reg_alpha': 0.1, 'n_estimators': 200, 'max_depth': 5, 'learning_rate': 1, 'gamma': 0.5, 'colsample_bytree': 1}",0.7437348423605498,0.7105901374292644,0.7396928051738076,0.7356507679870655,0.7275666936135813,0.7314470493128538,0.011719398722341241,33
23,0.8641654014587402,0.009759274687412072,0.013199949264526367,0.00098140576088903,1,0.1,0.1,100,3,2,0.5,0.7,"{'subsample': 1, 'reg_lambda': 0.1, 'reg_alpha': 0.1, 'n_estimators': 100, 'max_depth': 3, 'learning_rate': 2, 'gamma': 0.5, 'colsample_bytree': 0.7}",0.7526273241713823,0.7170573969280517,0.7283751010509296,0.7210994341147938,0.7324171382376717,0.7303152789005658,0.012383155465718094,34
96,2.6022171497344972,0.033785716700659094,0.024624347686767578,0.0007882936854005288,1,0.1,1,100,10,0.5,1,0.5,"{'subsample': 1, 'reg_lambda': 0.1, 'reg_alpha': 1, 'n_estimators': 100, 'max_depth': 10, 'learning_rate': 0.5, 'gamma': 1, 'colsample_bytree': 0.5}",0.7372675828617623,0.7219078415521423,0.740501212611156,0.7227162489894907,0.7283751010509296,0.7301535974130962,0.007538588990703149,35
10,5.3785147190094,0.08274499203716053,0.021708106994628905,0.0006054115540281002,1,1,0.5,500,3,0.1,0.1,1,"{'subsample': 1, 'reg_lambda': 1, 'reg_alpha': 0.5, 'n_estimators': 500, 'max_depth': 3, 'learning_rate': 0.1, 'gamma': 0.1, 'colsample_bytree': 1}",0.7235246564268392,0.7477768795472919,0.7267582861762328,0.7219078415521423,0.7299919159256265,0.7299919159256265,0.00931599695449504,36
48,1.6554048538208008,0.014528417608799396,0.015403413772583007,0.0004937079598055374,1,1,0.1,200,3,0.1,0,0.7,"{'subsample': 1, 'reg_lambda': 1, 'reg_alpha': 0.1, 'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.1, 'gamma': 0, 'colsample_bytree': 0.7}",0.7348423605497171,0.7178658043654002,0.7340339531123686,0.730800323362975,0.7316087308003234,0.7298302344381569,0.006165133699252271,37
70,1.6477665424346923,0.007704880619251017,0.015401697158813477,0.0004883478489920476,0.8,0.1,0.5,200,3,0.1,0.5,0.6,"{'subsample': 0.8, 'reg_lambda': 0.1, 'reg_alpha': 0.5, 'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.1, 'gamma': 0.5, 'colsample_bytree': 0.6}",0.7396928051738076,0.7113985448666128,0.7316087308003234,0.725141471301536,0.7372675828617623,0.7290218270008084,0.01014092273601728,38
57,2.472682809829712,0.020996308602094758,0.0194061279296875,0.00048695117220874765,1,1,0.1,200,5,1,1,0.6,"{'subsample': 1, 'reg_lambda': 1, 'reg_alpha': 0.1, 'n_estimators': 200, 'max_depth': 5, 'learning_rate': 1, 'gamma': 1, 'colsample_bytree': 0.6}",0.7340339531123686,0.7081649151172191,0.7413096200485044,0.7227162489894907,0.7364591754244139,0.7285367825383993,0.01187451190103702,39
29,3.1070663928985596,0.05279054823280427,0.025729656219482422,0.001162623084018081,0.8,0,1,100,10,0.5,1,0.6,"{'subsample': 0.8, 'reg_lambda': 0, 'reg_alpha': 1, 'n_estimators': 100, 'max_depth': 10, 'learning_rate': 0.5, 'gamma': 1, 'colsample_bytree': 0.6}",0.7372675828617623,0.7033144704931286,0.746160064672595,0.7154405820533549,0.7348423605497171,0.7274050121261115,0.015670598152256646,40
3,1.3474064826965333,0.005928141684416384,0.01563606262207031,0.000514415754035963,1,0,0.1,200,3,3,0.5,0.5,"{'subsample': 1, 'reg_lambda': 0, 'reg_alpha': 0.1, 'n_estimators': 200, 'max_depth': 3, 'learning_rate': 3, 'gamma': 0.5, 'colsample_bytree': 0.5}",0.7267582861762328,0.7113985448666128,0.7380759902991108,0.7275666936135813,0.7267582861762328,0.726111560226354,0.008515566100089687,41
95,1.7121735095977784,0.04805210160438123,0.015604496002197266,0.0010206319710117932,1,1,0.1,200,3,3,1,0.7,"{'subsample': 1, 'reg_lambda': 1, 'reg_alpha': 0.1, 'n_estimators': 200, 'max_depth': 3, 'learning_rate': 3, 'gamma': 1, 'colsample_bytree': 0.7}",0.7502021018593371,0.7162489894907034,0.7348423605497171,0.7178658043654002,0.7081649151172191,0.7254648342764755,0.015111814319221229,42
72,1.5806614875793457,0.04952349165171944,0.01539907455444336,0.0007987891989668907,0.8,1,0.5,100,5,2,0,0.7,"{'subsample': 0.8, 'reg_lambda': 1, 'reg_alpha': 0.5, 'n_estimators': 100, 'max_depth': 5, 'learning_rate': 2, 'gamma': 0, 'colsample_bytree': 0.7}",0.7259498787388844,0.7154405820533549,0.7202910266774454,0.7340339531123686,0.7316087308003234,0.7254648342764753,0.006908928251971386,43
51,2.5369498252868654,0.022377020506942468,0.019403791427612303,0.0004907676647742936,1,0.5,1,200,5,2,1,0.6,"{'subsample': 1, 'reg_lambda': 0.5, 'reg_alpha': 1, 'n_estimators': 200, 'max_depth': 5, 'learning_rate': 2, 'gamma': 1, 'colsample_bytree': 0.6}",0.7526273241713823,0.6734033953112368,0.7469684721099434,0.7186742118027486,0.7340339531123686,0.7251414713015361,0.02838880151620239,44
63,0.6249276161193847,0.008601109069156095,0.013011026382446288,0.0013117622816764124,1,1,0.1,50,5,2,0,0.5,"{'subsample': 1, 'reg_lambda': 1, 'reg_alpha': 0.1, 'n_estimators': 50, 'max_depth': 5, 'learning_rate': 2, 'gamma': 0, 'colsample_bytree': 0.5}",0.7316087308003234,0.7081649151172191,0.7421180274858529,0.7202910266774454,0.7210994341147938,0.7246564268391269,0.011462293855952205,45
88,6.036119794845581,0.1008539267853232,0.03448677062988281,0.001423460678795187,0.8,0.1,0.1,500,5,1,1,0.5,"{'subsample': 0.8, 'reg_lambda': 0.1, 'reg_alpha': 0.1, 'n_estimators': 500, 'max_depth': 5, 'learning_rate': 1, 'gamma': 1, 'colsample_bytree': 0.5}",0.7227162489894907,0.713823767178658,0.7453516572352465,0.719482619240097,0.7146321746160065,0.7232012934518999,0.011541838834324808,46
50,0.8334542751312256,0.0038748402283157028,0.01340036392211914,0.0004899504793820546,0.5,0.5,0.5,100,3,1,0.5,0.5,"{'subsample': 0.5, 'reg_lambda': 0.5, 'reg_alpha': 0.5, 'n_estimators': 100, 'max_depth': 3, 'learning_rate': 1, 'gamma': 0.5, 'colsample_bytree': 0.5}",0.7178658043654002,0.7025060630557801,0.7445432497978981,0.7356507679870655,0.7154405820533549,0.7232012934518999,0.015016372153275732,46
15,5.070679759979248,0.030690667606608695,0.038710165023803714,0.0008460426225216537,0.5,0.1,0.5,200,10,0.5,0.5,0.5,"{'subsample': 0.5, 'reg_lambda': 0.1, 'reg_alpha': 0.5, 'n_estimators': 200, 'max_depth': 10, 'learning_rate': 0.5, 'gamma': 0.5, 'colsample_bytree': 0.5}",0.7267582861762328,0.6944219886822959,0.7356507679870655,0.7130153597413096,0.7396928051738076,0.7219078415521423,0.016512105327969998,48
